nse_symbol,yahoo_symbol,stock_name,industry
NSE:GODREJIND-EQ,GODREJIND.NS,Godrej Industries Ltd.,Diversified
NSE:GODREJPROP-EQ,GODREJPROP.NS,Godrej Properties Ltd.,Realty
NSE:GRANULES-EQ,GRANULES.NS,Granules India Ltd.,Healthcare
NSE:GRAPHITE-EQ,GRAPHITE.NS,Graphite India Ltd.,Capital Goods
NSE:GRASIM-EQ,GRASIM.NS,Grasim Industries Ltd.,Construction Materials
NSE:GRAVITA-EQ,GRAVITA.NS,Gravita India Ltd.,Metals & Mining
NSE:GESHIP-EQ,GESHIP.NS,Great Eastern Shipping Co. Ltd.,Services
NSE:FLUOROCHEM-EQ,FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,Chemicals
NSE:GMDCLTD-EQ,GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,Metals & Mining
NSE:HEG-EQ,HEG.NS,H.E.G. Ltd.,Capital Goods
NSE:HBLENGINE-EQ,HBLENGINE.NS,HBL Engineering Ltd.,Capital Goods
NSE:HCLTECH-EQ,HCLTECH.NS,HCL Technologies Ltd.,Information Technology
